Suffixe,Adjectif,Nom,,,,,
ie,"démocrate, diplomate, aristocrate"," la démocratie, la diplomatie, l'aristocratie",,,,,
ise,"roublard, traître","la roublardise, la traîtrise",,,,,
té,"libre, égal, fraternel, sain, loyal, beau","la liberté, l'égalité, la fraternité, la santé, la loyauté, la beauté",,,,,
tude,"seul, apte, exact, ample, las","la solitude, l'aptitude, l'exactitude, l'amplitude, la lassitude",,,,,
ance,"tolérant, suffisant","la tolérance, la suffisance",,,,,
ence,"différent, innocent, absent","la différence, l'innocence, l'absence",,,,,
esse,"hardi, paresseux, bas, vieux, sage","la hardiesse, la paresse, la bassesse, la vieillesse, la sagesse",,,,,
erie,"étourdi, pédant","l'étourderie, la pédanterie",,,,,
eur,"grand, lent, lourd, large, blanc","la grandeur, la lenteur, la lourdeur, la largeur, la blancheur",,,,,
"isme, iste","réel, classique, naturel, national","réalisme, classicisme, naturaliste, nationaliste",,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,