Suffixe,Verbe,Nom,,,,,
"-tion, ition, uction, ation","punir, déduire, traduire, graduer","punition, déduction, traduction, graduation",,,,,
-sion,"exploser, éroder, éclore","explosion, érosion, éclosion",,,,,
"-ence, -ance","exister, assister","existence, assistance",,,,,
-ment,"raisonner, rendre","raisonnement, rendement",,,,,
-age,"tourner, abattre, passer","tournage, abattage, passage",,,,,
-ure,"souder, gager, brûler","soudure, gageure, brûlure",,,,,
-ée,"lever, monter, tourner, dicter","levée, montée, tournée, dictée",,,,,
-ie,"incendier, envier, agoniser","incendie, envie, agonie",,,,,
"-te, -té","perdre, vendre, égaler","perte, vente, égalité",,,,,
-at,"assassiner, plagier","assassinat, plagiat",,,,,
-ise,"prendre, mépriser, maîtriser","prise, méprise, maîtrise",,,,,
-ade,"tirer, rouler","tirade, roulade",,,,,
-xion,"Connecter, fléchir, réfléchir","Connexion, flexion, réflexion",,,,,
-erie,"rêver, flâner, tromper","rêverie, flânerie, tromperie,",,,,,
-sson,"cuire, boire","cuisson, boisson",,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,